epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6806,2.08395,2.3747,0.49206,0.00016,0.01,0.00017,2e-05,3.64912,6.28898,0.733,0.000663446,0.000663446,0.000663446
2,37.243,4.00531,3.13515,0.84235,0,0,0,0,4.8653,5.29495,0.91496,0.00130378,0.00130378,0.00130378
3,53.9675,4.55601,3.26588,0.94397,0,0,0,0,1.5595,3.44163,0.36331,0.00191771,0.00191771,0.00191771
4,70.6601,4.58427,3.3689,0.93161,0.00014,0.01,9e-05,1e-05,4.93809,4.66254,1.04007,0.0018812,0.0018812,0.0018812
5,87.2339,4.5941,3.31729,0.91278,0.00035,0.02,0.00018,4e-05,4.74951,4.15575,1.06214,0.0018416,0.0018416,0.0018416
6,103.837,4.53712,3.16538,0.91454,0.00018,0.01,0.00017,2e-05,4.92275,3.65108,0.96186,0.001802,0.001802,0.001802
7,120.527,4.53878,3.20739,0.91649,0.00038,0.02,0.00025,6e-05,4.76722,3.47264,1.01367,0.0017624,0.0017624,0.0017624
8,137.146,4.5458,3.17444,0.91133,0.16784,0.01,0.00259,0.00052,5.13692,3.98606,1.03616,0.0017228,0.0017228,0.0017228
9,153.983,4.47196,3.18543,0.92396,0,0,0,0,5.21423,4.02539,1.03134,0.0016832,0.0016832,0.0016832
10,170.589,4.44171,3.02912,0.90889,0,0,0,0,4.54157,3.51278,0.96561,0.0016436,0.0016436,0.0016436
11,187.381,4.46764,3.08437,0.9251,0.00122,0.04,0.00076,0.00016,4.38515,3.30789,0.92538,0.001604,0.001604,0.001604
12,203.796,4.42603,3.01797,0.92207,0.00053,0.02,0.00032,6e-05,4.85233,4.2732,1.00985,0.0015644,0.0015644,0.0015644
13,220.746,4.3436,2.9752,0.89461,0.03268,0.01,0.00805,0.00095,4.17014,3.11446,0.94907,0.0015248,0.0015248,0.0015248
14,237.55,4.34654,2.94142,0.90146,0.0325,0.03,0.00238,0.00035,4.57538,4.10885,0.95741,0.0014852,0.0014852,0.0014852
15,255.421,4.158,2.87503,0.88465,0.00237,0.06,0.00309,0.00037,3.86101,2.50717,0.79954,0.0014456,0.0014456,0.0014456
16,272.614,4.1985,2.81453,0.88209,0.00637,0.03,0.00233,0.00052,3.91756,3.13544,0.88127,0.001406,0.001406,0.001406
17,289.598,4.12167,2.82928,0.87981,0.06507,0.02,0.0064,0.00132,4.1073,3.0722,0.94394,0.0013664,0.0013664,0.0013664
18,306.705,4.11077,2.80899,0.8821,0.02337,0.01,0.00517,0.0011,4.18278,3.31483,0.93357,0.0013268,0.0013268,0.0013268
19,323.695,4.02939,2.7517,0.87972,0.04858,0.03,0.0071,0.00132,4.09666,3.36582,0.92972,0.0012872,0.0012872,0.0012872
20,340.941,4.04421,2.72312,0.88774,0.01364,0.01,0.00485,0.001,4.09647,3.10333,0.88457,0.0012476,0.0012476,0.0012476
21,357.914,4.1227,2.79247,0.89012,0.09083,0.02,0.01484,0.00349,4.04012,2.73549,0.91245,0.001208,0.001208,0.001208
22,374.929,4.00872,2.61791,0.88006,0.07251,0.06,0.01029,0.00134,4.30693,3.19259,0.93751,0.0011684,0.0011684,0.0011684
23,391.89,3.91222,2.64102,0.8675,0.10386,0.05,0.01467,0.00221,4.26079,3.03833,1.00025,0.0011288,0.0011288,0.0011288
24,408.964,3.96106,2.62365,0.8754,0.13118,0.07403,0.02312,0.00358,4.11138,3.04654,0.93584,0.0010892,0.0010892,0.0010892
25,426.098,3.87301,2.58885,0.87711,0.10072,0.05,0.0207,0.00309,4.07499,2.70774,0.92899,0.0010496,0.0010496,0.0010496
