epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.818,2.40268,3.49026,1.61589,0.36373,0.33,0.30386,0.09395,2.36329,3.19466,1.77044,0.000663446,0.000663446,0.000663446
2,793.07,2.31656,2.33117,1.6412,0.41101,0.43,0.3587,0.12412,2.45423,2.36098,1.99688,0.00131694,0.00131694,0.00131694
3,1177.85,2.32576,2.10008,1.67607,0.55476,0.41,0.43736,0.13042,2.48617,2.39473,1.9334,0.00195724,0.00195724,0.00195724
4,1560.98,2.28035,1.98995,1.65595,0.6466,0.41,0.47954,0.14014,2.50486,1.82538,1.99624,0.0019406,0.0019406,0.0019406
5,1940.62,2.2781,1.94371,1.64694,0.57037,0.5,0.49046,0.13324,2.4379,2.25686,1.94934,0.0019208,0.0019208,0.0019208
6,2321.01,2.25642,1.9012,1.62234,0.47103,0.52,0.48686,0.14595,2.44477,1.90171,2.01571,0.001901,0.001901,0.001901
7,2702.01,2.21572,1.84582,1.59369,0.53579,0.53,0.54562,0.17653,2.37528,2.20637,1.89457,0.0018812,0.0018812,0.0018812
8,3082.82,2.20087,1.8252,1.57014,0.57287,0.48,0.55819,0.17478,2.35303,1.93491,1.96751,0.0018614,0.0018614,0.0018614
9,3465.16,2.1986,1.80241,1.58529,0.58368,0.6,0.55311,0.16252,2.46077,1.76415,1.90618,0.0018416,0.0018416,0.0018416
10,3845.66,2.18145,1.78153,1.58243,0.70157,0.56,0.65004,0.21665,2.33919,1.84095,1.88009,0.0018218,0.0018218,0.0018218
11,4227.45,2.16512,1.76375,1.57233,0.57663,0.62653,0.54407,0.18195,2.38619,1.63834,1.94774,0.001802,0.001802,0.001802
12,4607.4,2.14664,1.77306,1.57212,0.69989,0.51,0.62578,0.19717,2.2653,1.71488,1.84102,0.0017822,0.0017822,0.0017822
13,4988.29,2.12854,1.71261,1.53001,0.65011,0.51,0.57429,0.18477,2.34187,1.81144,1.85127,0.0017624,0.0017624,0.0017624
14,5368.82,2.13405,1.71645,1.55654,0.63492,0.57,0.59407,0.18966,2.29829,1.70193,1.94015,0.0017426,0.0017426,0.0017426
15,5751.92,2.11245,1.66385,1.52388,0.7581,0.6,0.67768,0.19982,2.39816,1.67123,2.01363,0.0017228,0.0017228,0.0017228
16,6133.41,2.09812,1.68853,1.53625,0.70351,0.59323,0.67478,0.23098,2.29193,1.67715,1.98613,0.001703,0.001703,0.001703
17,6515.91,2.10479,1.68492,1.53626,0.59712,0.55,0.58674,0.18843,2.38927,1.80074,1.89591,0.0016832,0.0016832,0.0016832
18,6896.72,2.07913,1.6722,1.51321,0.76195,0.58,0.64497,0.1911,2.36828,1.7178,1.86738,0.0016634,0.0016634,0.0016634
19,7278.08,2.07776,1.64265,1.51428,0.69607,0.57,0.63725,0.2023,2.47947,1.61831,2.01896,0.0016436,0.0016436,0.0016436
20,7658.75,2.07213,1.60703,1.50046,0.72509,0.57,0.62982,0.18863,2.3814,1.72451,1.8824,0.0016238,0.0016238,0.0016238
21,8039.99,2.08602,1.62351,1.51506,0.74518,0.57,0.65846,0.21838,2.29035,1.76405,1.79899,0.001604,0.001604,0.001604
22,8419.81,2.06001,1.61512,1.50339,0.69983,0.54,0.59243,0.19163,2.45402,1.67675,1.97327,0.0015842,0.0015842,0.0015842
